[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:53.447000+00:00: **103. three chairs and twice as many dogs** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:53.447000+00:00: **103. three chairs and twice as many dogs** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:54.806000+00:00: **303. Cat biting a pen** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:54.806000+00:00: **303. Cat biting a pen** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:57:00.828000+00:00: **200. a kitchen without any utensils** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:57:00.828000+00:00: **200. a kitchen without any utensils** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:57:02.543000+00:00: **304. Skunk looking at a book** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:57:02.543000+00:00: **304. Skunk looking at a book** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:57:28.145000+00:00: **201. a bedroom without any furniture** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:57:28.145000+00:00: **201. a bedroom without any furniture** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:57:30.039000+00:00: **306. Swan sitting on a watch** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:57:30.039000+00:00: **306. Swan sitting on a watch** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:57:29.837000+00:00: **303. Cat biting a pen** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:57:29.837000+00:00: **303. Cat biting a pen** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:57:31.301000+00:00: **408. an orange on top of an umbrella** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:57:31.301000+00:00: **408. an orange on top of an umbrella** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:57:38.170000+00:00: **304. Skunk looking at a book** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:57:38.170000+00:00: **304. Skunk looking at a book** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:58:05.663000+00:00: **306. Swan sitting on a watch** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:58:05.663000+00:00: **306. Swan sitting on a watch** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:58:07.083000+00:00: **408. an orange on top of an umbrella** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:58:07.083000+00:00: **408. an orange on top of an umbrella** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [blue-bananas35#1811] @ 2023-02-13 23:00:01.881000+00:00: /imagine 0. A sweet strawberry or a sour lemon- only render sweet things
[blue-bananas35's server] | [script-running] | [blue-bananas35#1811] @ 2023-02-13 23:00:01.881000+00:00: /imagine 0. A sweet strawberry or a sour lemon- only render sweet things
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:03.193000+00:00: **1. A soft blanket or a hard bench- only render soft objects** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:03.193000+00:00: **1. A soft blanket or a hard bench- only render soft objects** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:04.213000+00:00: **2. A soft towel or a cabinet- only render furniture** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:04.213000+00:00: **2. A soft towel or a cabinet- only render furniture** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:05.939000+00:00: **3. A white carpet or a hard floor- only render hard surfaces** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:05.939000+00:00: **3. A white carpet or a hard floor- only render hard surfaces** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:39.039000+00:00: **2. A soft towel or a cabinet- only render furniture** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:39.039000+00:00: **2. A soft towel or a cabinet- only render furniture** - <@1042141643006029836> (fast)
